date,maturity,yield
2025-02-07,1.5,2.85
2025-02-07,2.0,2.863
2025-02-07,2.5,2.884
2025-02-07,3.0,2.891
2025-02-07,4.0,2.906
2025-02-07,5.0,2.958
2025-02-07,7.0,3.002
2025-02-07,10.0,3.043
2025-02-07,15.0,2.946
2025-02-07,20.0,2.915
2025-02-07,30.0,2.882
2025-02-10,0.25,2.953
2025-02-10,0.5,2.957
2025-02-10,0.75,2.84
2025-02-10,1.0,2.779
2025-02-10,1.5,2.833
2025-02-10,2.0,2.851
2025-02-10,2.5,2.874
2025-02-10,3.0,2.878
2025-02-10,4.0,2.895
2025-02-10,5.0,2.949
2025-02-10,7.0,2.999
2025-02-10,10.0,3.04
2025-02-10,15.0,2.942
2025-02-10,20.0,2.922
2025-02-10,30.0,2.887
2025-02-11,0.25,2.948
2025-02-11,0.5,2.95
2025-02-11,0.75,2.841
2025-02-11,1.0,2.769
2025-02-11,1.5,2.826
2025-02-11,2.0,2.852
2025-02-11,2.5,2.877
2025-02-11,3.0,2.88
2025-02-11,4.0,2.907
2025-02-11,5.0,2.95
2025-02-11,7.0,3.007
2025-02-11,10.0,3.055
2025-02-11,15.0,2.944
2025-02-11,20.0,2.928
2025-02-11,30.0,2.891
2025-02-12,0.25,2.949
2025-02-12,0.5,2.95
2025-02-12,0.75,2.843
2025-02-12,1.0,2.776
2025-02-12,1.5,2.83
2025-02-12,2.0,2.865
2025-02-12,2.5,2.887
2025-02-12,3.0,2.886
2025-02-12,4.0,2.916
2025-02-12,5.0,2.962
2025-02-12,7.0,3.023
2025-02-12,10.0,3.077
2025-02-12,15.0,2.957
2025-02-12,20.0,2.946
2025-02-12,30.0,2.902
2025-02-13,0.25,2.946
2025-02-13,0.5,2.949
2025-02-13,0.75,2.837
2025-02-13,1.0,2.774
2025-02-13,1.5,2.821
2025-02-13,2.0,2.85
2025-02-13,2.5,2.872
2025-02-13,3.0,2.871
2025-02-13,4.0,2.9
2025-02-13,5.0,2.946
2025-02-13,7.0,3.011
2025-02-13,10.0,3.066
2025-02-13,15.0,2.951
2025-02-13,20.0,2.957
2025-02-13,30.0,2.919
2025-02-14,0.25,2.948
2025-02-14,0.5,2.95
2025-02-14,0.75,2.823
2025-02-14,1.0,2.765
2025-02-14,1.5,2.811
2025-02-14,2.0,2.833
2025-02-14,2.5,2.855
2025-02-14,3.0,2.854
2025-02-14,4.0,2.885
2025-02-14,5.0,2.924
2025-02-14,7.0,2.988
2025-02-14,10.0,3.04
2025-02-14,15.0,2.92
2025-02-14,20.0,2.937
2025-02-14,30.0,2.897
2025-02-17,0.25,2.947
2025-02-17,0.5,2.947
2025-02-17,0.75,2.828
2025-02-17,1.0,2.772
2025-02-17,1.5,2.82
2025-02-17,2.0,2.841
2025-02-17,2.5,2.869
2025-02-17,3.0,2.867
2025-02-17,4.0,2.895
2025-02-17,5.0,2.94
2025-02-17,7.0,3.008
